name,hex,link
Rotviolett,#922b3e,
Rubinrot,#9b111e,
Safrangelb,#f5d033,
Sandbraun,#f4a460,undefined
Sandgelb,#c6a664,
Saphirblau,#1d1e33,
Sattelbraun,#8b4513,undefined
Scharlachrot,#ff2400,https://de.wikipedia.org//wiki/Scharlachrot_(Farbe)
Schieferblau,#6a5acd,undefined
Schiefergrau,#434750,
Schilfgrün,#6c7156,
Schneeweiß,#f2f6f7,https://github.com/meodai/noms-de-couleur/#authors-undefined
Schokobraun,#3d261b,https://github.com/meodai/noms-de-couleur/#authors-undefined
Schokolade,#d2691e,undefined
Schwarz,#000000,undefined
Schwarzblau,#18171c,
Schwarzbraun,#212121,
Schwarzgrau,#23282b,
Schwarzgrün,#343e40,
Schwarzoliv,#3b3c36,
Schwarzrot,#412227,
Schwefelgelb,#edff21,
Schweinchenrosa,#f8dce5,https://github.com/meodai/noms-de-couleur/#authors-undefined
Seegrün,#2e8b57,https://de.wikipedia.org//wiki/T%C3%BCrkis_(Farbe)
Seidengrau,#cac4b0,
Sepia,#704214,https://de.wikipedia.org//wiki/Sepia_(Farbstoff)
Sepiabraun,#382c1e,
Signalblau,#1e2460,
Signalbraun,#6c3b2a,
Signalgelb,#e5be01,
Signalgrau,#969992,
Signalgrün,#317f43,
Signalorange,#d84b20,
Signalrot,#a52019,
Signalschwarz,#282828,
Signalviolett,#924e7d,
Signalweiß,#f4f4f4,
Silber,#c0c0c0,undefined
Silbergrau,#8a9597,
Smaragdgrün,#287233,
Sonnengelb,#f39f18,
Stahlblau,#231a24,
Staubgrau,#7d7f7d,
Steingrau,#8b8c7a,
Strohblond,#f7e780,https://github.com/meodai/noms-de-couleur/#authors-undefined
Tannengrün,#31372b,
Taubenblau,#606e8c,
Telegrau 1,#909090,
Telegrau 2,#82898f,
Telegrau 4,#d0d0d0,
Telemagenta,#cf3476,
Terrabraun,#4e3b31,
Tiefes Himmelblau,#00bfff,undefined
Tieforange,#ec7c26,
Tiefrosa,#ff1493,undefined
Tiefschwarz,#0a0a0a,
Tomatencreme,#ffe4c4,undefined
Tomatenrot,#a12312,
Türkis,#00ffff,https://de.wikipedia.org//wiki/T%C3%BCrkis_(Farbe)
Türkisblau,#3f888f,
Türkisgrün,#1e5945,
Ultramarinblau,#20214f,
Umbra,#635147,https://de.wikipedia.org//wiki/Umbra_(Farbe)
Umbragrau,#332f2c,
Venezianischrot,#d57453,https://de.wikipedia.org//wiki/Eisenoxidrot
Verkehrs-schwarz,#1e1e1e,
Verkehrsblau,#063971,
Verkehrsgelb,#fad201,
Verkehrsgrau A,#8d948d,
Verkehrsgrau B,#4e5452,
Verkehrsgrün,#308446,
Verkehrsorange,#f54021,
Verkehrspurpur,#a03472,
Verkehrsrot,#cc0605,
Verkehrsweiß,#f6f6f6,
Violett,#a146ff,https://de.wikipedia.org//wiki/Violett
Violettblau,#354d73,
Waldgrün,#228b22,undefined
Wasserblau,#256d7b,
Weinrot,#5e2129,
Weizen,#f5deb3,undefined
Weiß,#fefefe,undefined
Weißaluminium,#a5a5a5,
Weißgrün,#bdecb6,
Zeltgrau,#4c514a,
Zementgrau,#7d8471,
Ziegelfarbe,#b22222,undefined
Zinkgelb,#f8f32b,
Zinnoberrot,#fe0101,https://de.wikipedia.org//wiki/Rot#Zinnoberrot,_Permanentrot,_Feuerrot
Zitronengelb,#c7b446,
Zitronengrün,#00ff00,undefined
Zyanblau,#01fefe,undefined
